2025-03-12 12:59:51: Dealer 1 sold Auto 1 (Body: 1, Motor: 1, Accessory: 1)
2025-03-12 12:59:52: Dealer 3 sold Auto 2 (Body: 2, Motor: 2, Accessory: 2)
2025-03-12 12:59:53: Dealer 2 sold Auto 3 (Body: 3, Motor: 3, Accessory: 3)
2025-03-12 12:59:53: Dealer 1 sold Auto 4 (Body: 4, Motor: 4, Accessory: 6)
2025-03-12 12:59:54: Dealer 3 sold Auto 5 (Body: 5, Motor: 5, Accessory: 4)
2025-03-12 12:59:55: Dealer 2 sold Auto 6 (Body: 6, Motor: 6, Accessory: 5)
2025-03-12 12:59:55: Dealer 1 sold Auto 7 (Body: 7, Motor: 7, Accessory: 7)
2025-03-12 12:59:56: Dealer 3 sold Auto 8 (Body: 9, Motor: 8, Accessory: 8)
2025-03-12 12:59:57: Dealer 2 sold Auto 9 (Body: 10, Motor: 9, Accessory: 9)
2025-03-12 12:59:57: Dealer 1 sold Auto 10 (Body: 12, Motor: 10, Accessory: 10)
2025-03-12 12:59:58: Dealer 3 sold Auto 11 (Body: 13, Motor: 11, Accessory: 11)
2025-03-12 12:59:59: Dealer 2 sold Auto 12 (Body: 14, Motor: 12, Accessory: 12)
2025-03-12 13:00:00: Dealer 1 sold Auto 13 (Body: 16, Motor: 13, Accessory: 14)
2025-03-12 13:00:00: Dealer 3 sold Auto 14 (Body: 17, Motor: 14, Accessory: 13)
2025-03-12 13:00:01: Dealer 2 sold Auto 15 (Body: 18, Motor: 15, Accessory: 15)
2025-03-12 13:02:59: Dealer 1 sold Auto 1 (Body: 1, Motor: 1, Accessory: 1)
2025-03-12 13:03:00: Dealer 3 sold Auto 2 (Body: 2, Motor: 2, Accessory: 3)
2025-03-12 13:03:01: Dealer 2 sold Auto 3 (Body: 3, Motor: 3, Accessory: 2)
2025-03-12 13:03:01: Dealer 1 sold Auto 4 (Body: 4, Motor: 4, Accessory: 4)
2025-03-12 13:03:02: Dealer 3 sold Auto 5 (Body: 5, Motor: 5, Accessory: 5)
2025-03-12 13:03:03: Dealer 2 sold Auto 6 (Body: 6, Motor: 6, Accessory: 6)
2025-03-12 13:03:03: Dealer 1 sold Auto 7 (Body: 7, Motor: 7, Accessory: 7)
2025-03-12 13:03:04: Dealer 3 sold Auto 8 (Body: 9, Motor: 8, Accessory: 8)
2025-03-12 13:03:05: Dealer 2 sold Auto 9 (Body: 10, Motor: 9, Accessory: 9)
2025-03-12 13:03:06: Dealer 1 sold Auto 10 (Body: 12, Motor: 10, Accessory: 10)
2025-03-12 13:03:06: Dealer 3 sold Auto 11 (Body: 13, Motor: 11, Accessory: 11)
2025-03-12 13:03:07: Dealer 2 sold Auto 12 (Body: 14, Motor: 12, Accessory: 12)
2025-03-12 13:03:08: Dealer 1 sold Auto 13 (Body: 16, Motor: 13, Accessory: 13)
2025-03-12 13:03:08: Dealer 3 sold Auto 14 (Body: 17, Motor: 14, Accessory: 14)
2025-03-12 13:03:09: Dealer 2 sold Auto 15 (Body: 18, Motor: 15, Accessory: 15)
2025-03-12 13:03:24: Dealer 1 sold Auto 1 (Body: 1, Motor: 1, Accessory: 1)
2025-03-12 13:03:25: Dealer 3 sold Auto 2 (Body: 2, Motor: 2, Accessory: 3)
2025-03-12 13:03:26: Dealer 2 sold Auto 3 (Body: 3, Motor: 3, Accessory: 2)
2025-03-12 13:03:27: Dealer 1 sold Auto 4 (Body: 4, Motor: 4, Accessory: 4)
2025-03-12 13:03:27: Dealer 3 sold Auto 5 (Body: 5, Motor: 5, Accessory: 5)
2025-03-12 13:03:28: Dealer 2 sold Auto 6 (Body: 6, Motor: 6, Accessory: 6)
2025-03-12 13:03:29: Dealer 1 sold Auto 7 (Body: 7, Motor: 7, Accessory: 7)
2025-03-12 13:03:29: Dealer 3 sold Auto 8 (Body: 9, Motor: 8, Accessory: 8)
2025-03-12 13:03:30: Dealer 2 sold Auto 9 (Body: 10, Motor: 9, Accessory: 9)
2025-03-12 13:03:31: Dealer 1 sold Auto 10 (Body: 12, Motor: 10, Accessory: 10)
2025-03-12 13:03:31: Dealer 3 sold Auto 11 (Body: 13, Motor: 11, Accessory: 11)
2025-03-12 13:03:32: Dealer 2 sold Auto 12 (Body: 14, Motor: 12, Accessory: 12)
2025-03-12 13:03:33: Dealer 1 sold Auto 13 (Body: 16, Motor: 13, Accessory: 13)
2025-03-12 13:03:34: Dealer 3 sold Auto 14 (Body: 17, Motor: 14, Accessory: 15)
2025-03-12 13:03:34: Dealer 2 sold Auto 15 (Body: 18, Motor: 15, Accessory: 14)
2025-03-12 13:06:27: Dealer 1 sold Auto 1 (Body: 1, Motor: 1, Accessory: 1)
2025-03-12 13:06:28: Dealer 3 sold Auto 2 (Body: 2, Motor: 2, Accessory: 2)
2025-03-12 13:06:28: Dealer 2 sold Auto 3 (Body: 3, Motor: 3, Accessory: 3)
2025-03-12 13:06:29: Dealer 1 sold Auto 4 (Body: 4, Motor: 4, Accessory: 4)
2025-03-12 13:06:30: Dealer 3 sold Auto 5 (Body: 5, Motor: 5, Accessory: 5)
2025-03-12 13:06:30: Dealer 2 sold Auto 6 (Body: 6, Motor: 6, Accessory: 6)
2025-03-12 13:06:31: Dealer 1 sold Auto 7 (Body: 7, Motor: 7, Accessory: 7)
2025-03-12 13:06:32: Dealer 3 sold Auto 8 (Body: 9, Motor: 8, Accessory: 8)
2025-03-12 13:06:32: Dealer 2 sold Auto 9 (Body: 10, Motor: 9, Accessory: 9)
2025-03-12 13:06:33: Dealer 1 sold Auto 10 (Body: 12, Motor: 10, Accessory: 10)
2025-03-12 13:06:34: Dealer 3 sold Auto 11 (Body: 13, Motor: 11, Accessory: 11)
2025-03-12 13:06:35: Dealer 2 sold Auto 12 (Body: 14, Motor: 12, Accessory: 12)
2025-03-12 13:06:35: Dealer 1 sold Auto 13 (Body: 16, Motor: 13, Accessory: 13)
2025-03-12 13:06:36: Dealer 3 sold Auto 14 (Body: 17, Motor: 14, Accessory: 14)
2025-03-12 13:06:37: Dealer 2 sold Auto 15 (Body: 18, Motor: 15, Accessory: 15)
2025-03-12 13:12:06: Dealer 1 sold Auto 1 (Body: 1, Motor: 1, Accessory: 1)
2025-03-12 13:12:07: Dealer 3 sold Auto 2 (Body: 2, Motor: 2, Accessory: 2)
2025-03-12 13:12:08: Dealer 2 sold Auto 3 (Body: 3, Motor: 3, Accessory: 3)
2025-03-12 13:12:08: Dealer 1 sold Auto 4 (Body: 4, Motor: 4, Accessory: 6)
2025-03-12 13:12:09: Dealer 3 sold Auto 5 (Body: 5, Motor: 5, Accessory: 4)
2025-03-12 13:12:10: Dealer 2 sold Auto 6 (Body: 6, Motor: 6, Accessory: 5)
2025-03-12 13:12:10: Dealer 1 sold Auto 7 (Body: 7, Motor: 7, Accessory: 7)
2025-03-12 13:12:11: Dealer 3 sold Auto 8 (Body: 9, Motor: 8, Accessory: 8)
2025-03-12 13:12:12: Dealer 2 sold Auto 9 (Body: 10, Motor: 9, Accessory: 9)
2025-03-12 13:12:12: Dealer 1 sold Auto 10 (Body: 12, Motor: 10, Accessory: 10)
2025-03-12 13:12:13: Dealer 3 sold Auto 11 (Body: 13, Motor: 11, Accessory: 11)
2025-03-12 13:12:14: Dealer 2 sold Auto 12 (Body: 14, Motor: 12, Accessory: 12)
2025-03-12 13:12:15: Dealer 1 sold Auto 13 (Body: 16, Motor: 13, Accessory: 13)
2025-03-12 13:12:15: Dealer 3 sold Auto 14 (Body: 17, Motor: 14, Accessory: 14)
2025-03-12 13:12:16: Dealer 2 sold Auto 15 (Body: 18, Motor: 15, Accessory: 15)
